n;SI;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria
43;S;Combining Property Price Predictions from Repeat Sales and Spatially Enhanced Hedonic Regressions;Oust, Are and Hansen, Simen N. and Pettrem, Tobias R.;;;Springer Link;183--207;61;Hedonic regression and repeat sales are commonly used methods in real estate analysis. While the merits of combining these models when constructing house price indices are well documented, research on the utility of adopting the same approach for residential property valuation has not been conducted to date. Specifically, house value estimates were obtained by combining predictions from repeat sales and various hedonic regression specifications, which were enhanced to account for spatial effects. Three of these enhancements—regression kriging, mixed regressive-spatial autoregressive, and geographically weighted regression—are widely utilized spatial econometric models. However, a fourth augmentation, which addresses systematic residual patterns in regressions with district indicator variables and the presence of outliers in housing data, was also proposed. The resulting models were applied to a dataset containing 16,417 real estate transactions in Oslo, Norway, revealing that when the repeat sales approach is included, it reduces the median absolute percentage error of solely hedonic models by 6.8–9.5\%, where greater improvements are associated with less accurate spatial enhancements. These improvements can be attributed to the inclusion of both spatial and non-spatial information inherent in previous sales prices. While the former has limited utility for well-specified spatial models, the non-spatial information that is implicit in previous sales prices likely captures otherwise difficult to observe phenomena, potentially making its contribution highly valuable in automated valuation models.;;10.1007/s11146-019-09723-x;https://doi.org/10.1007/s11146-019-09723-x;;;;;1573-045X;;;
44;S;Recent trends in real estate research: a comparison of recent working papers and publications using machine learning algorithms;Breuer, Wolfgang and Steininger, Bertram I.;;;Springer Link;963--974;90;sinr;;10.1007/s11573-020-01005-w;https://doi.org/10.1007/s11573-020-01005-w;;;;;1861-8928;;;
45;S;Predicting fair housing market value: A machine learning investigation;Oladunni, T. and Sharma, S.;International Journal of Computers and their Applications;2016;Scopus;160-175;23;"The real estate market plays a major role in the economy of most developed nations, particularly the United States, thus a study of its market value prediction using machine learning algorithms is very important. This paper describes a two phase research into the predictability of the fair market value of real estate properties. The first phase concentrated on building a predictive real estate listings application software using an MVC architecture and linear regression. Residential real estate datasets extracted from Howard County, Maryland were used for the experiment. Performance evaluation was measured using r-squared with a performance outcome of 0.92. The second phase of the study experimented the model with four different learning algorithms; K-NN, improved neural network, polynomial regression and linear regression. Experiments were conducted with datasets of residential real estate listings from Baltimore and Montgomery counties. Spearman’s rho was used for the performance comparisons of the algorithms. Neural network performed consistently better in both counties with a Spearman’s rho value of 0.836 and 0.739 in Montgomery County and Baltimore County respectively. Statistical analysis was done using scatter plot, covariance matrix, correlation matrix and test of significance. Statistical analysis showed that the predictive parameters of real estate properties are not the same in all counties. © ISCA 2016.";Article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096893915&partnerID=40&md5=3f5e140a240429997be04f5432fc407d;Department of Computer Science, Bowie State University, Bowie, MD  20715, United States;"Housing prices prediction;  K-NN;  Linear regression;  Machine learning;  MVC;  Neural network;  Polynomial regression;  Real estate;  UML";;;;;cited By 0;
46;S;Forecasting spatial dynamics of the housing market using Support Vector Machine;Chen, J.-H. and Ong, C.F. and Zheng, L. and Hsu, S.-C.;International Journal of Strategic Property Management;2017;Scopus;273-283;21;"This paper adopts a novel approach of Support Vector Machine (SVM) to forecast residential housing prices. as one type of machine learning algorithm, the proposed SVM encompasses a larger set of variables that are recognized as price-influencing and meanwhile enables recognizing the geographical pattern of housing price dynamics. The analytical framework consists of two steps. The first step is to identify the supporting vectors (SVs) to price variances using the stepwise multi-regression approach; and then it is to forecast the housing price variances by employing the SVs identified by the first step as well as other variables postulated by the hedonic price theory, where the housing prices in Taipei City are empirically examined to verify the designed framework. Results computed by nonparametric estimation confirm that the prediction power of using SVM in housing price forecasting is of high accuracy. Further studies are suggested to extract the geographical weights using kernel density estimates to reflect price responses to local quantiles of hedonic attributes. © 2017 Vilnius Gediminas Technical University (VGTU) Press.";Article;10.3846/1648715X.2016.1259190;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022191195&doi=10.3846%2f1648715X.2016.1259190&partnerID=40&md5=191a967df11c249f349beb94e2090072;"Institute of Construction Management and Management, National Central University, Taiwan; Department of Civil Engineering, Universiti Tunku Abdul Rahman, Malaysia; Department of Real Estate and Construction, The University of Hong Kong, Hong Kong; Department of Civil and Environmental Engineering, The Hong Kong Polytechnic University, Hong Kong";"Hedonic appraisal method;  Housing price forecasting;  Spatial dynamics;  Supporting vector machine";;;;;cited By 22;
47;S;Housing market hedonic price study based on boosting regression tree;Gu, G. and Xu, B.;Journal of Advanced Computational Intelligence and Intelligent Informatics;2017;Scopus;1040-1047;21;Based on the purchase price data of new real estate markets three cities in China, Beijing, Shanghai, and Guangzhou, including architectural features, neighborhood property features, and location features, in this study a boosting regression tree model was built to study the factors and the influence path of housing prices from the microcosmic perspective. First, a classical hedonic price model was constructed to analyze and compare the significant effect factors on housing prices in the market segments of the three cities. Second, the gradient boosting regression tree method that is proposed in this paper was applied to the three markets in combination to analyze the influence paths and factors and the importance of the type of housing hedonic price. The influence paths of housing hedonic prices and decision tree rules are visualized. The significant housing features are effectively extracted. Finally, we present three main conclusions and several suggestions for policy makers to improve urban functions while stabilizing real estate prices.;Article;10.20965/jaciii.2017.p1040;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032980777&doi=10.20965%2fjaciii.2017.p1040&partnerID=40&md5=94cf12d4127cd2e94f45bd4626cde01f;"Research Institute of Quantitative Economics, Zhejiang Gongshang University, Hangzhou, Zhejiang, 310018, China; School of Economics and Management, Zhejiang A and F University, Hangzhou, Zhejiang, 311300, China; Center for China Farmers' Development of Zhejiang lin'An, Hangzhou, Zhejiang, 311300, China";"Gradient boosting;  Machine learning;  Regression tree;  Residential hedonic price";;;;;cited By 4;
48;S;Homeowner preferences after September 11th, a microdata approach;Nowak, A. and Sayago-Gomez, J.;Regional Science and Urban Economics;2018;Scopus;330-351;70;"The existence of homeowner preferences – specifically homeowner preferences for neighbors – is fundamental to economic models of sorting. This paper investigates whether or not the terrorist attacks of September 11, 2001 (9/11) impacted local preferences for Arab neighbors. We test for changes in preferences using a differences-in-differences approach in a hedonic pricing model. Relative to sales before 9/11, we find properties within 0.1 miles of an Arab homeowner sold at a 1.4% discount (approximately $4133) in the 180 days after 9/11. The results are robust to a number of specifications including time horizon, event date, distance, time, alternative ethnic groups, and the presence of nearby mosques. Previous research has shown price effects at neighborhood levels but has not identified effects at the micro or individual property level, and for good reason: most transaction level data sets do not include ethnic identifiers. Applying methods from the machine learning and biostatistics literature, we develop a binomial classifier using a supervised learning algorithm and identify Arab homeowners based on the name of the buyer. We train the binomial classifier using names from Summer Olympic Rosters for 221 countries during the years 1948–2012. We demonstrate the flexibility of our methodology and perform an interesting counterfactual by identifying Hispanic and Asian homeowners in the data; unlike the statistically significant results for Arab homeowners, we find no meaningful results for Hispanic and Asian homeowners following 9/11. © 2017 Elsevier B.V.";Article;10.1016/j.regsciurbeco.2017.10.001;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033463432&doi=10.1016%2fj.regsciurbeco.2017.10.001&partnerID=40&md5=6701119ec540ac6ffb8f43901db28e05;"West Virginia University, Department of Economics, College of Business and Economics, 1601 University Dr PO Box 6025, Morgantown, WV  26506-6025, United States; Universidad Icesi, Department of Economics, School of Business and Economic Studies, Columbia, United States";"Ethnicity;  Homeowner preferences;  House prices;  September 11th;  Terrorism";;;;;cited By 2;
49;S;Identifying real estate opportunities using machine learning;Baldominos, A. and Blanco, I. and Moreno, A.J. and Iturrarte, R. and Bernárdez, Ó. and Afonso, C.;Applied Sciences (Switzerland);2018;Scopus;;8;The real estate market is exposed to many fluctuations in prices because of existing correlations with many variables, some of which cannot be controlled or might even be unknown. Housing prices can increase rapidly (or in some cases, also drop very fast), yet the numerous listings available online where houses are sold or rented are not likely to be updated that often. In some cases, individuals interested in selling a house (or apartment) might include it in some online listing, and forget about updating the price. In other cases, some individuals might be interested in deliberately setting a price below the market price in order to sell the home faster, for various reasons. In this paper, we aim at developing a machine learning application that identifies opportunities in the real estate market in real time, i.e., houses that are listed with a price substantially below the market price. This program can be useful for investors interested in the housing market. We have focused in a use case considering real estate assets located in the Salamanca district in Madrid (Spain) and listed in the most relevant Spanish online site for home sales and rentals. The application is formally implemented as a regression problem that tries to estimate the market price of a house given features retrieved from public online listings. For building this application, we have performed a feature engineering stage in order to discover relevant features that allows for attaining a high predictive performance. Several machine learning algorithms have been tested, including regression trees, k-nearest neighbors, support vector machines and neural networks, identifying advantages and handicaps of each of them. © 2018 by the authors.;Article;10.3390/app8112321;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057007680&doi=10.3390%2fapp8112321&partnerID=40&md5=62c9ef745ead3cb8cf65a756a8ccceea;"Computer Science Department, Universidad Carlos III de Madrid, Leganés, 28911, Spain; Artificial Intelligence Group, Rentier Token, Madrid, 28050, Spain; Finance Department, Colegio Universitario de Estudios Financieros, Madrid, 28040, Spain";"Appraisal;  Artificial intelligence;  Investment;  Machine learning;  Real estate";;;;;cited By 24;
50;S;Home is where the ad is: online interest proxies housing demand;Pangallo, M. and Loberto, M.;EPJ Data Science;2018;Scopus;;7;Online activity leaves digital traces of human behavior. In this paper we investigate if online interest can be used as a proxy of housing demand, a key yet so far mostly unobserved feature of housing markets. We analyze data from an Italian website of housing sales advertisements (ads). For each ad, we know the timings at which website users clicked on the ad or used the corresponding contact form. We show that low online interest—a small number of clicks/contacts on the ad relative to other ads in the same neighborhood—predicts longer time on market and higher chance of downward price revisions, and that aggregate online interest is a leading indicator of housing market liquidity and prices. As online interest affects time on market, liquidity and prices in the same way as actual demand, we deduce that it is a good proxy. We then turn to a standard econometric problem: what difference in demand is caused by a difference in price? We use machine learning to identify pairs of duplicate ads, i.e. ads that refer to the same housing unit. Under some caveats, differences in demand between the two ads can only be caused by differences in price. We find that a 1% higher price causes a 0.66% lower number of clicks. © 2018, The Author(s).;Article;10.1140/epjds/s13688-018-0176-2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056363195&doi=10.1140%2fepjds%2fs13688-018-0176-2&partnerID=40&md5=096b4247c95c7f316aa5c293fc1e68e1;"Institute for New Economic Thinking at the Oxford Martin School, University of Oxford, Oxford, United Kingdom; Mathematical Institute, University of Oxford, Oxford, United Kingdom; Directorate General for Economics, Statistics and Research, Banca d’Italia, Roma, Italy";"Causality;  Econometrics;  Housing market;  Machine learning;  Online data";;;;;cited By 2;
51;S;RETSManager: Real-estate database builder and synchronizer;Hammad, I. and El-Sankary, K. and Hornibrook, H.;SoftwareX;2019;Scopus;;10;RETSManager is a Django based platform for retrieving, storing, and synchronizing real-estate data and images from multiple listing service (MLS) servers. This platform can be used to construct synchronized and up-to-date real-estate datasets for usage in research fields such as machine learning, image-based deep learning, and housing market statistical analysis. The platform converts and synchronizes the raw XML data originating from the MLS servers to a structure data in a PostgreSQL or SQLite database. Additionally, it supports storage and synchronization of images either on a local drive or on an Amazon Web Services (AWS) S3 bucket. The platform is production-ready and can be deployed as multiple Docker containers including a pre-configured Nginx container for web application support and Celery and Redis containers to supports scheduled periodic updates. © 2019 The Authors;Article;10.1016/j.softx.2019.100351;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074157513&doi=10.1016%2fj.softx.2019.100351&partnerID=40&md5=89b30332f68fceaa57d40554d86de468;"Dalhousie University, Halifax, NS, Canada; RE/MAX Professionals, Toronto, ON, Canada";"Django;  Machine learning;  Real estate;  RETS";;;;;cited By 1;
52;S;Sustainable profitability in volatile cyclical markets;Sarraf, H.;Journal of Risk Management in Financial Institutions;2020;Scopus;182-189;13;Market conditions are prone to change rapidly, limiting the ability of lenders to mitigate losses. Furthermore, lenders’ behaviour can often contribute to market volatility as lending initially drives up market leverage, and this is followed by greatly reduced credit supply following a market correction as capital constraints and heightened risk sensitivities constrict banks’ willingness to lend. This paper analyses how banks can successfully ensure it is being rewarded for the risk presented by a cyclical and volatile market. It also discusses how a bank can avoid presenting its shareholders with loss of their capital without missing profitable lending opportunities? In short, how should a bank seek commercial sustainability in volatile cyclical markets?. © Henry Stewart Publications 1752-8887 (2020).;Article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084226805&partnerID=40&md5=33afb2dcc722bb9a54dad88a912fa607;Group Chief Risk Officer, BankMed Group, 482 Clemenceau Street, Beirut, 1107-2030, Lebanon;"Active credit portfolio management;  Concentration risk;  Credit losses, credit cycles;  Housing market;  IRB models;  Loan-to-value (LTV);  Loss forecasting;  Machine learning;  Procyclicality;  Real estate lending;  Risk measurement;  Risk segmentation;  Sustainable profitability";;;;;cited By 0;
53;S;A house price valuation based on the random forest approach: The mass appraisal of residential property in south korea;Hong, J. and Choi, H. and Kim, W.-S.;International Journal of Strategic Property Management;2020;Scopus;140-152;24;Mass appraisal is the standardized procedure of valuing a large number of properties at the same time and is commonly used to compute real estate tax. While a hedonic pricing model based on the ordinary least squares (OLS) linear regression has been employed as the traditional method in this process, the stability and accuracy of the model remain questionable. This paper investigates the features of a house price predictor based on the Random Forest (RF) method by comparing it with that of a conventional hedonic pricing model. We used apartment transaction data from the period of 2006 to 2017 in the district of Gangnam, one of the most developed areas in South Korea. Using a data set covering 40% of all transactions in the sample area, we demonstrate that the accuracy of a machine learning-based predictor can be surprisingly high. The average of percentage deviations between the predicted and the actual market price was found to be only around 5.5% in the RF predictor, whereas it was almost 20% in the OLS-based predictor. With the RF predictor, the probability of the predicted price being within 5% of its actual market price was 72%, while only about 17.5% of the regression-based predictions fell within the same range. These results show that, in the practice of mass appraisal, the RF method may be a useful complement to the hedonic models, as it more adequately captures the complexity or non-linearity of actual housing markets. © 2020 The Author(s). Published by VGTU Press.;Article;10.3846/ijspm.2020.11544;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082550830&doi=10.3846%2fijspm.2020.11544&partnerID=40&md5=cdf508ca03389b4b2aeb65e8820b36d8;"School of Management and Economics, Handong Global University, Pohang, South Korea; School of Computer Science and Electrical Engineering, Handong Global University, Pohang, South Korea";"Apartment;  Hedonic pricing model;  Housing price forecasting;  Machine learning technique;  Mass appraisal;  Random forest approach";;;;;cited By 12;
54;S;Applying comparable sales method to the automated estimation of real estate prices;Kim, Y. and Choi, S. and Yi, M.Y.;Sustainability (Switzerland);2020;Scopus;;12;In this paper, we propose a novel procedure designed to apply comparable sales method to the automated price estimation of real estates, in particular, that of apartments. Apartments are the most popular residential housing type in Korea. The price of a single apartment is influenced by many factors, making it hard to estimate accurately. Moreover, as an apartment is purchased for living, with a sizable amount of money, it is mostly traded infrequently. Thus, its past transaction price may not be particularly helpful to the estimation after a certain period of time. For these reasons, the up-to-date price of an apartment is commonly estimated by certified appraisers, who typically rely on comparable sales method (CSM). CSM requires comparable properties to be identified and used as references in estimating the current price of the property in question. In this research, we develop a procedure to systematically apply this procedure to the automated estimation of apartment prices and assess its applicability using nine years' real transaction data from the capital city and the most-populated province in South Korea and multiple scenarios designed to reflect the conditions of low and high fluctuations of housing prices. The results from extensive evaluations show that the proposed approach is superior to the traditional approach of relying on real estate professionals and also to the baseline machine learning approach. © 2020 by the authors.;Article;10.3390/su12145679;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088662419&doi=10.3390%2fsu12145679&partnerID=40&md5=b17f2026681117267faa163a0cf4a124;"Financial Supervisory Service, 38, Yeoui-daero, Yeongdeungpo-gu, Seoul, 07321, South Korea; Department of Industrial and Systems Engineering, Korea Advanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon, 34141, South Korea";"Boosting;  Comparable sales method;  Housing price estimation;  Machine learning;  Real estate valuation";;;;;cited By 7;
55;S;Assessing the impact of public rental housing on the housing prices in proximity: Based on the regional and local level of price prediction models using long short-term memory (LSTM);Kim, H. and Kwon, Y. and Choi, Y.;Sustainability (Switzerland);2020;Scopus;;12;"Providing adequate public rental housing (PRH) of a decent quality at a desirable location is a major challenge in many cities. Often, a prominent opponent of PRH development is its host community, driven by a belief that PRH depreciates nearby property values. While this is a persistent issue in many cities around the world, this study proposed a new approach to assessing the impact of PRH on nearby property value. This study utilized a machine learning technique called long short-term memory (LSTM) to construct a set of housing price prediction models based on 547,740 apartment transaction records from the city of Busan, South Korea. A set of apartment characteristics and proximity measures to PRH were included in the modeling process. Four geographic boundaries were analyzed: The entire region of Busan, all neighborhoods of PRH, the neighborhoods of PRH in the ""favorable,"" and the ""less favorable"" local housing market. The study produced accurate and reliable price predictions, which indicated that the proximity to PRH has a meaningful impact on nearby housing prices both at the city and the neighborhood level. The approach taken by the study can facilitate improved decision making for future PRH policies and programs. © 2020 by the authors.";Article;10.3390/su12187520;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091173734&doi=10.3390%2fsu12187520&partnerID=40&md5=11029667b4a578459faa26152f5f8b80;Department of Urban Planning and Engineering, Pusan National University, Busan, 46241, South Korea;"Housing market analysis;  Long short-term memory;  Price forecasting;  Public rental housing";;;;;cited By 1;
56;S;Real Estate Dictionaries Across Space and Time;Nowak, A.D. and Price, B.S. and Smith, P.S.;Journal of Real Estate Finance and Economics;2021;Scopus;139-163;62;Leveraging high-dimensional variable selection methods, we show the textual information provided in real estate agents’ remarks about a property can be used to address spatial and temporal heterogeneity in housing markets. Including the textual information in the pricing model decreases in-sample prediction errors by as much as 18.7% at the MSA-level and 39.1% at the zip code level. These results are robust to transforming the raw text using a real estate specific word list, the choice of n-grams, word stemming, and heteroscedasticity in the hedonic and repeat-sales models. These findings suggest the raw text in the remarks can be included directly in predictive pricing models. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.;Article;10.1007/s11146-019-09740-w;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077092451&doi=10.1007%2fs11146-019-09740-w&partnerID=40&md5=50ad28d168e4bb623923a05f5d0dcb9b;"John Chambers College of Business and Economics, West Virginia University, Morgantown, WV, United States; Fowler College of Business, San Diego State University, San Diego, CA, United States";"House prices;  Machine learning;  Real estate dictionary;  Textual analysis";;;;;cited By 1;
57;S;Predicting property prices with machine learning algorithms;Ho, W.K.O. and Tang, B.-S. and Wong, S.W.;Journal of Property Research;2021;Scopus;48-70;38;This study uses three machine learning algorithms including, support vector machine (SVM), random forest (RF) and gradient boosting machine (GBM) in the appraisal of property prices. It applies these methods to examine a data sample of about 40,000 housing transactions in a period of over 18 years in Hong Kong, and then compares the results of these algorithms. In terms of predictive power, RF and GBM have achieved better performance when compared to SVM. The three performance metrics including mean squared error (MSE), root mean squared error (RMSE) and mean absolute percentage error (MAPE) associated with these two algorithms also unambiguously outperform those of SVM. However, our study has found that SVM is still a useful algorithm in data fitting because it can produce reasonably accurate predictions within a tight time constraint. Our conclusion is that machine learning offers a promising, alternative technique in property valuation and appraisal research especially in relation to property price prediction. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;Article;10.1080/09599916.2020.1832558;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092761693&doi=10.1080%2f09599916.2020.1832558&partnerID=40&md5=533270da73aacdda2631114b77e0e249;"Department of Real Estate and Construction, The University of Hong Kong, Hong Kong; Department of Urban Planning and Design, The University of Hong Kong, Hong Kong; Department of Building and Real Estate, The Hong Kong Polytechnic University, Hong Kong";"GBM;  Machine Learning algorithms;  property valuation;  RF;  SVM";;;;;cited By 7;
58;S;Machine Learning Predictions of Housing Market Synchronization across US States: The Role of Uncertainty;Gupta, R. and Marfatia, H.A. and Pierdzioch, C. and Salisu, A.A.;Journal of Real Estate Finance and Economics;2021;Scopus;;;We analyze the role of macroeconomic uncertainty in predicting synchronization in housing price movements across all the United States (US) states plus District of Columbia (DC). We first use a Bayesian dynamic factor model to decompose the house price movements into a national, four regional (Northeast, South, Midwest, and West), and state-specific factors. We then study the ability of macroeconomic uncertainty in forecasting the comovements in housing prices, by controlling for a wide-array of predictors, such as factors derived from a large macroeconomic dataset, oil shocks, and financial market-related uncertainties. To accommodate for multiple predictors and nonlinearities, we take a machine learning approach of random forests. Our results provide strong evidence of forecastability of the national house price factor based on the information content of macroeconomic uncertainties over and above the other predictors. This result also carries over, albeit by a varying degree, to the factors associated with the four census regions, and the overall house price growth of the US economy. Moreover, macroeconomic uncertainty is found to have predictive content for (stochastic) volatility of the national factor and aggregate US house price. Our results have important implications for policymakers and investors. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.;Article;10.1007/s11146-020-09813-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099368452&doi=10.1007%2fs11146-020-09813-1&partnerID=40&md5=184f97beb28e818734b54519be4ee0fc;"Department of Economics, University of Pretoria, Pretoria, 0002, South Africa; Department of Economics, Northeastern Illinois University, 5500 N St Louis Ave, BBH 344G, Chicago, IL  60625, United States; Department of Economics, Helmut Schmidt University, Holstenhofweg 85, P.O.B. 700822, Hamburg, 22008, Germany; Centre for Econometric & Allied Research, University of Ibadan, Ibadan, Nigeria";"Bayesian dynamic factor model;  Forecasting;  Housing markets synchronization;  Machine learning;  Random forests;  United States";;;;;cited By 2;
59;S;Machine learning for inference: using gradient boosting decision tree to assess non-linear effects of bus rapid transit on house prices;Yang, L. and Liang, Y. and Zhu, Q. and Chu, X.;Annals of GIS;2021;Scopus;273-284;27;The adoption of bus rapid transit (BRT) systems has gained worldwide popularity over the past several decades. China is no exception as it has long been aiming at promoting public transportation. Prior studies have provided extensive evidence that BRT has substantial effects on house prices with traditional econometric techniques, such as hedonic pricing models. However, few of those investigations have discussed the non-linear relationship between BRT and house prices. Using the Xiamen data, this study employs a machine learning technique, namely the gradient boosting decision tree (GBDT), to scrutinize the non-linear relationship between BRT and house prices. This study documents a positive association between accessibility to BRT stations and house prices and a negative association between proximity to the BRT corridor and house prices. Moreover, it suggests a non-linear relationship between BRT and house prices and indicates that GBDT has more substantial predictive power than hedonic pricing models. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group, on behalf of Nanjing Normal University.;Article;10.1080/19475683.2021.1906746;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103269805&doi=10.1080%2f19475683.2021.1906746&partnerID=40&md5=373bf1f78cc01428c9ef71a4f51b6314;"Southwest Jiaotong University, Chengdu, China; Urban Mobility Institute, Tongji University, Shanghai, China; Department of Real Estate and Construction, The University of Hong Kong, Hong Kong";"Bus Rapid Transit (BRT);  Gradient Boosting Decision Tree (GBDT);  hedonic pricing model;  House price;  machine learning";;;;;cited By 0;
60;S;Metrics for evaluating the performance of machine learning based automated valuation models;Steurer, M. and Hill, R.J. and Pfeifer, N.;Journal of Property Research;2021;Scopus;99-129;38;Automated Valuation Models (AVMs) based on Machine Learning (ML) algorithms are widely used for predicting house prices. While there is consensus in the literature that cross-validation (CV) should be used for model selection in this context, the interdisciplinary nature of the subject has made it hard to reach consensus over which metrics to use at each stage of the CV exercise. We collect 48 metrics (from the AVM literature and elsewhere) and classify them into seven groups according to their structure. Each of these groups focuses on a particular aspect of the error distribution. Depending on the type of data and the purpose of the AVM, the needs of users may be met by some classes, but not by others. In addition, we show in an empirical application how the choice of metric can influence the choice of model, by applying each metric to evaluate five commonly used AVM models. Finally–since it is not always practicable to produce 48 different performance metrics–we provide a short list of 7 metrics that are well suited to evaluate AVMs. These metrics satisfy a symmetry condition that we find is important for AVM performance, and can provide a good overall model performance ranking. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;Article;10.1080/09599916.2020.1858937;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104549219&doi=10.1080%2f09599916.2020.1858937&partnerID=40&md5=9b6b8444632eff37c7f6879ca318ba31;Department of Economics, University of Graz, Graz, Austria;"automated valuation;  house price prediction;  machine learning;  model selection;  Performance metrics";;;;;cited By 2;
61;S;Automated Valuation Services: A case study for Aberdeen in Scotland;Schulz, R. and Wersing, M.;Journal of Property Research;2021;Scopus;154-172;38;Automated valuation services (AVSs) offered by listings platforms predict market values based on property characteristics supplied by users. We investigate the implementation of such a service for the City of Aberdeen. We fit different market value models with machine learning methods and assess them in a rolling windows procedure that mimics an AVS setting. We also investigate the ease and robustness with which the models can be implemented. We discuss how prediction uncertainty can be measured and reported to users. If implemented in the future, such a service has the potential to improve the transparency of the local housing market. © 2021 Informa UK Limited, trading as Taylor & Francis Group.;Article;10.1080/09599916.2020.1861066;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105154862&doi=10.1080%2f09599916.2020.1861066&partnerID=40&md5=57f4f37b46bb38bb99e472a3a9801cfc;University of Aberdeen Business School, Aberdeen, United Kingdom;"Housing market;  machine learning";;;;;cited By 1;
62;S;Learning low-dimensional structure in house price indices;Glynn, C.;Applied Stochastic Models in Business and Industry;2021;Scopus;;;"House price indices (HPIs) are statistical measures of real estate price dynamics in defined geographic regions over defined periods of time. HPIs are important metrics that help policymakers, mortgage lenders, real estate investors, and bank regulators monitor market conditions and manage risk. HPIs that are local, reliable, and timely are essential in understanding connections between housing markets and the broader economy. In this article, we examine the algorithmic construction of Zillow's Home Value Index (ZHVI), an HPI built on black box machine learning algorithms. To provide deeper statistical insight into ZHVI than afforded by its black box construction, we develop a Bayesian generative meta-model that approximates the black box construction of ZHVI series in 100 metropolitan areas (metros). Each ZHVI series is modeled with a global trend, a finite mixture of Gaussian processes, and a local component. We find that there are three shared dynamic patterns across the 100 markets in our analysis, and we utilize this shared latent structure to forecast ZHVI in each metro 12 months ahead. Our clustering strategy has two advantages: (i) it allows us to construct composite HPIs where member metros are learned from the data rather than predetermined; and (ii) it allows us to estimate the relative contributions of cluster-level and metro-specific components to a metro's ZHVI, providing a novel statistical attribution of real estate market dynamics. © 2021 John Wiley & Sons, Ltd.";Article;10.1002/asmb.2653;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117803736&doi=10.1002%2fasmb.2653&partnerID=40&md5=475a2accc0ef24f9c66547c13913d7ea;Zillow Research, Seattle, WA, United States;"Bayesian analysis;  dynamic linear model;  Gaussian process;  house price index;  Markov chain Monte Carlo";;;;;cited By 0;
63;S;The effect of hazard shock and disclosure information on property and land prices: a machine-learning assessment in the case of Japan;Peng, T.-C.;Review of Regional Research;2021;Scopus;;41;"The occurrence of 6.7-magnitude Hokkaido Eastern Iburi Earthquake on 6th September 2018 made local residents in Japan realise the underneath hazardous threat to their own safety and residential dwellings. Japan has faced various natural disasters for a long time, and Government chose to unveil these hazard data in details to the public to raise every one’s alertness. Despite their long-term awareness of hazards, this short-term unexpected event should have impact on local real estate markets. Given the transaction data of properties and lands, this study used machine-learning algorithms to examine whether the unexpected hazard shock (i.e. 2018 Hokkaido Earthquake) or the observed local hazard information in geographic areas (i.e. long-term evaluation of each real estate) would be capitalised into the prices of residential properties and lands in the case of Hokkaido, Japan. It is assumed that the difference in the characteristics of disaster notification would alter individuals’ risk perception and thus the evaluation of properties; compared to uncertain, infrequent occurrence of earthquakes in the unknown future (i.e. beyond the scope of objective estimation), the release of long-term hazardous information (tied to each property or land), which is more perceivable in near future, is more likely to be capitalised into real estate. It is found that housing/land attributes are still the key features to real estate values in Hokkaido. In comparison with short-term unexpected hazard shock (i.e. 2018 Earthquake), the long-term hazard threats are more influential to prices of properties and lands. This is possibly due to people’s awareness of the hazard conditions of local communities while deciding where to reside. © 2021, Springer-Verlag GmbH Germany, part of Springer Nature.";Article;10.1007/s10037-020-00148-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099747988&doi=10.1007%2fs10037-020-00148-1&partnerID=40&md5=9f2a22fd8ae4a099b2fea3a06c630e59;Department of Real Estate and Built Environment, National Taipei University, 151, University Rd., New Taipei City, San Shia District  23741, Taiwan;"Japan;  Land prices;  Machine-learning algorithms;  Natural hazard;  Property prices";;;;;cited By 1;
